Longitude,Latitude,Day_of_Week,Local_Authority_(District),1st_Road_Class,1st_Road_Number,Speed_limit,Year,Cluster,Day_of_year,Hour
-0.130274,51.516377,5,2,3,40,30,2012,21,229,0
-0.127771,51.524701,3,2,5,0,30,2012,64,248,9
-0.121229,51.519021,5,2,3,4200,30,2012,57,243,9
-0.130981,51.52727,3,2,3,501,40,2012,61,255,5
-0.130558,51.516472,1,2,3,40,30,2012,21,274,3
-0.129384,51.548647,4,3,3,503,30,2012,91,270,9
-0.130693,51.527265,6,2,3,501,30,2012,61,237,11
-0.137709,51.542575,6,2,3,503,30,2012,55,286,5
-0.143802,51.523966,5,1,3,501,30,2012,27,285,6
-0.175246,51.541546,5,2,3,41,30,2012,58,299,16
-0.119759,51.516209,6,2,3,4200,30,2012,56,293,10
-0.130989,51.52709,5,2,3,501,30,2012,61,299,8
-0.142623,51.538786,3,2,3,400,30,2012,60,318,13
-0.130566,51.516292,2,2,3,40,30,2012,21,303,19
-0.138725,51.528292,3,2,3,400,30,2012,59,297,22
-0.12821,51.524528,3,2,5,0,30,2012,64,297,10
-0.130841,51.527178,7,2,3,501,30,2012,61,322,6
-0.125839,51.522602,3,2,3,4200,30,2012,449,325,18
-0.142615,51.538965,2,2,3,503,30,2012,60,317,16
-0.130704,51.526996,2,2,3,4200,30,2012,61,275,14
-0.13741,51.54284,5,2,3,503,30,2012,55,327,8
-0.138728,51.528202,6,2,3,400,30,2012,59,272,16
-0.137558,51.542752,5,2,3,5202,30,2012,55,341,8
-0.137406,51.542929,6,2,3,503,30,2012,55,349,9
-0.126013,51.528899,6,2,4,504,30,2012,62,356,19
-0.126116,51.522876,6,2,3,4200,30,2012,449,349,22
-0.126589,51.528908,2,2,3,501,30,2012,62,345,17
-0.137558,51.542752,3,2,3,5202,30,2012,55,360,13
-0.175394,51.541458,1,2,3,41,30,2012,58,358,7
-0.126589,51.528908,4,2,3,501,30,2012,62,333,0
-0.122625,51.530644,3,2,3,5200,30,2012,63,318,23
-0.138574,51.556707,7,3,3,400,30,2012,69,357,4
-0.119193,51.557926,3,3,3,503,30,2012,76,17,11
-0.104485,51.564704,3,3,3,503,30,2012,84,17,8
-0.106224,51.533258,4,3,4,515,30,2012,465,18,8
